ym	47	127	 panghlymas 	 symon 	 onstuymigh 
td	46	126	 jachtden 	 goutdraeth 	 goetduncken 
24	54	126	 24 	 3244 	 4240 
ub	57	125	 substantie 	 subsidien 	 concubyn 
z 	38	125	 anthonisz 	 willemsz 	 jansz 
 *	19	116	 *sconincx 	 *t 	 *tsware 
sz	34	116	 anthonisz 	 willemsz 	 jansz 
ao	49	114	 aongebraght 	 laout 	 baoarj 
lm	50	113	 nelmonam 	 nelmoes 	 almachtigh 
lr	58	112	 alreets 	 sumalras 	 verlrocken 
ü 	12	110	 ü 	 vaü 	 eylandeü 
ii	98	109	 eiide 	 ontstiicken 	 zyiie 
19	41	108	 19*^0 	 19 	 195 
q 	45	106	 leecq 	 tolcq 	 joncq 
28	34	105	 28 	 280 	 228 
21	30	99	 321 	 21 	 1211 
kh	39	99	 packhuysen 	 redelyckheyt 	 reedelyckheyt 
26	34	98	 252627 	 1263 	 26661272 
uh	23	98	 touhender 	 louhoe 	 iuhoude 
hd	62	98	 vervoeghde 	 langhdurige 	 benoodighde 
wt	32	98	 gebouwt 	 vernieuwt 	 prauwtje 
iu	75	98	 gaiusch 	 iusgelyckx 	 ververssiugh 
22	28	97	 22 	 22000 	 52294 
hl	81	96	 panghlymas 	 wachler 	 rechlelyck 
lw	33	96	 alwaer 	 schillwachten 	 yelwes 
d*	46	95	 d*eylanden 	 d*onse 	 d*ed 
fy	25	95	 fyn 	 höuffysers 	 fyne 
xp	20	94	 expireeren 	 expireercn 	 expresse 
pd	16	94	 opdat 	 epde 	 opde 
70	30	93	 70 	 6702:15 	 3700 
bs	38	92	 substantie 	 subsidien 	 non-observantie 
ib	56	91	 liberale 	 liberael 	 sibederadia 
xa	26	88	 laxamana 	 relaxatie 	 alexanders 
*t	14	88	 *t 	 ovei*treders 	 spaengiaei*t 
27	41	85	 252627 	 27j 	 327 
nr	41	84	 onreyne 	 onreedelyck 	 henrick 
tf	21	81	 ontfangen 	 jtfalacca 	 ontfanger 
gc	20	80	 orangcaya 	 orangcay 	 aengcsecht 
aw	22	79	 dermawan 	 sawasse 	 sawack 
 ^	65	78	 ^esamentlycken 	 ^/g 	 ^handt 
23	29	77	 23 	 235 	 23748 
29	26	76	 29 	 52294 	 122978 
tm	44	75	 ootmoedige 	 wichtmans 	 etmael 
ën	17	75	 natiën 	 ëngelschen 	 audiëntie 
sh	52	74	 weshalven 	 mishaeght 	 huyshouden 
.e	11	74	 .ende 	 ü.e 	 u.e 
ax	25	73	 laxamana 	 relaxatie 	 maximilaen 
nf	43	73	 nederlanfsche 	 informatie 	 infesteren 
v^	54	72	 v^reder 	 v^elken 	 hetv^elck 
xc	30	71	 excuseert 	 excedeert 	 excusen 
ds	33	71	 soods^t 	 stadsmueren 	 geadsisteert 
zu	22	70	 zulcx 	 zullen 	 zuytzyde 
(s	15	68	 (synen 	 (spoelende 	 (synde 
ië	15	68	 natiën 	 audiëntie 	 actiën 
nm	45	66	 vnmden 	 eenmael 	 onmogelyck 
45	34	66	 /'64145 	 /^45089:2:2 	 45 
yp	25	66	 cypous 	 incruypen 	 grypskerck 
ko	39	65	 kaertekoe 	 bekomen 	 konnen 
ej	33	64	 naergejaeght 	 schobbejacken 	 wechgejacht 
sj	40	64	 baelsjanse 	 pitsjaren 	 pitsjaringen 
sk	33	64	 grypskerck 	 grypskercken 	 berghsken 
kl	34	62	 conincklycke 	 coninckl 	 tïonincklycke 
64	30	61	 75648 	 /'64145 	 1641 
90	26	61	 90 	 900 	 69900 
41	32	61	 /'64145 	 1641 	 416 
35	32	61	 35 	 235 	 355 
rk	39	58	 draerk 	 verkeerdelyck 	 erkennen 
u.	6	58	 u.e 	 u.ed 	 vei'soeckeu.ed 
34	36	58	 634 	 34 	 340 
sv	42	57	 iholsvryheyt 	 huysvrouwe 	 scheepsvolck 
cn	52	57	 gebruyckcn 	 aengecomcn 	 cniyt 
iy	51	57	 cniyt 	 iiyt 	 gfooleiycx 
gs	27	56	 wangsa 	 padangs 	 langs 
aj	21	56	 vaj^den 	 cajelj 	 ajuyn 
^e	52	55	 ^esamentlycken 	 v^elken 	 hetv^elck 
dl	32	54	 stadl 	 goudldraeth 	 vdlde 
rf	36	53	 rf 	 perfidieuse 	 verderff 
yw	14	52	 vrywilligb 	 galywongen 	 calywangen 
*s	19	51	 *sconincx 	 vei*sterckende 	 vooi*s 
kj	17	51	 sluckjens 	 stuckjens 	 coeckjens 
xe	24	51	 blixems-vuer 	 getaxeerde 	 getaxeerl 
36	26	51	 436 	 36977 	 36034 
47	36	51	 4772^4 	 47 	 472 
fu	27	51	 furieus 	 refuseren 	 affuyten 
48	33	50	 75648 	 23748 	 48 
g 	37	50	 bemaehting 	 ^/g 	 nog 
38	30	50	 3800 	 304838.3 	 304838.3.1 
mr	14	49	 mr 	 faclmre 	 omringht 
gl	32	48	 glorieusen 	 panglima 	 glinsterende 
74	34	48	 74 	 23748 	 74954 
42	27	48	 42 	 4240 	 114271 
75	29	47	 75648 	 79756 	 75 
cs	29	47	 csiobbe 	 aengcsecht 	 malacse 
32	36	46	 321 	 3244 	 327 
vu	28	46	 vuylesieckte 	 vullen 	 blixems-vuer 
sq	17	46	 musquettiers 	 musquetteryen 	 musquetcogel 
yi	34	46	 geduyi'igh 	 dewyie 	 zyiie 
ml	28	46	 laml>oe 	 d*aml)oinse 	 stormleeren 
44	34	45	 3244 	 144 	 440 
sr	25	45	 negotijsren 	 disrespect 	 prauvsr 
kx	17	45	 jaerlyckx 	 cockxhuysen 	 ryckx 
62	33	44	 252627 	 620 	 6240 
v 	12	44	 \v 	 v 	 iv 
eê	24	44	 geêxlimeeri 	 geêschappeert 	 geêmployeert 
